Επαρχία; Σημείο Δειγματοληψίας; Ωράριο; LAT;  LON;  googlemap
Λεμεσός; Χώρος στάθμευσης υπεραγοράς «Σκλαβενίτης», Γερμασόγεια (Columbia); 8.30 π.μ.-4.30 μ.μ.; 34.701058; 33.075487; https://www.google.com/maps/place/34.701058,33.075487
Λεμεσός; Πλατεία Γρηγόρη Αυξεντίου – Διοικητήριο; 8.30 π.μ.-4.30 μ.μ.; 34.678964; 33.044043; https://www.google.com/maps/place/34.678964,33.044043
Λεμεσός; Χώρος στάθμευσης υπεραγορας “Lidl”, Λεμεσός (Οδός Φραγκλίνου Ρούζβελτ 45); 8.30 π.μ.-4.30 μ.μ.; 34.668699; 33.028867; https://www.google.com/maps/place/34.668699,33.028867
Λεμεσός; Δημαρχείο Ύψωνα (νότια είσοδος); 8.30 π.μ.-4.30 μ.μ.; 34.691251; 32.955115; https://www.google.com/maps/place/34.691251,32.955115
Λεμεσός; Εκκλησία Αποστόλων Πέτρου και Παύλου και Αρτεμίου, Κάψαλος; 8.30 π.μ.-4.30 μ.μ.; 34.7048011; 32.9932362; https://www.google.com/maps/place/34.7048011,32.9932362
Λάρνακα; Χώρος στάθμευσης Αγίου Γεωργίου Κοντού, Λάρνακα (απέναντι από το κοιμητήριο); 8.30 π.μ.-4.30 μ.μ.; 34.9229161; 33.6127287 ; https://www.google.com/maps/place/34.9229161,33.6127287
Λάρνακα; Χώρος στάθμευσης υπεραγοράς «Σκλαβενίτης», Λάρνακα (Λεωφόρος Σπύρου Κυπριανού); 8.30 π.μ.-4.30 μ.μ.; 34.9298591; 33.6320862; https://www.google.com/maps/place/34.9298591,33.6320862
Λάρνακα; Χώρος στάθμευσης υπεραγοράς “Lidl”, Αραδίππου; 8.30 π.μ.-4.30 μ.μ.; 34.937095; 33.591803; https://www.google.com/maps/place/34.937095,33.591803
Λάρνακα; Πάρκο δίπλα από υπεραγορά «Στέλιος», Λειβάδια; 8.30 π.μ.-4.30 μ.μ.; 34.949169; 33.628264; https://www.google.com/maps/place/34.949169,33.628264
Λευκωσία; Χώρος στάθμευσης υπεραγοράς “Lidl” Παλουριώτισσα (Οδός Τζον Κένεντι 79-81); 9.30 π.μ.-4.30 μ.μ.; 35.173005; 33.384267; https://www.google.com/maps/place/35.173005,33.384267
Λευκωσία;Ιερός Ναός της Του Θεού Σοφίας, Στρόβολος; 8.30 π.μ.-4.30 μ.μ.; 35.147430; 33.334673; https://www.google.com/maps/place/35.147430,33.334673
Λευκωσία;Εκκλησία Αγίας Παρασκευής, Λακατάμια; 8.30 π.μ.-4.30 μ.μ.; 35.114799; 33.311579; https://www.google.com/maps/place/35.114799,33.311579
Λευκωσία;Χώρος στάθμευσης υπεραγοράς «Σκλαβενίτης», Λατσιά (Λεωφόρος Αρχιεπισκόπου Μακαρίου Γ’ 56); 9.30 π.μ.-4.30 μ.μ.; 35.110422; 33.382692; https://www.google.com/maps/place/35.110422,33.382692
Λευκωσία; Χώρος Κρατικής Έκθεσης, Έγκωμη (μπροστά από την Ανατολική Είσοδο); 8.30 π.μ.-4.30 μ.μ.; 35.150789; 33.315091; https://www.google.com/maps/place/35.150789,33.315091
Λευκωσία;Σωματείο «Τριπτόλεμος Ευρύχου», Ευρύχου; 10.30 π.μ.-4.30 μ.μ.; 35.039229; 32.900482; https://www.google.com/maps/place/35.039229,32.900482
Λευκωσία;Κοινοτικό Συμβούλιο Αστρομερίτη (αίθουσα εκδηλώσεων); 8.30 π.μ.-4.30 μ.μ.; 35.140301; 33.041067; https://www.google.com/maps/place/35.140301,33.041067
Πάφος; Κοινοτικό κτήριο Έμπας (αίθουσα πολλαπλών χρήσεων); 8.30 π.μ.-5 μ.μ.; 34.806745; 32.424750; https://www.google.com/maps/place/34.806745,32.424750
Αμμόχωστος; Χώρος στάθμευσης υπεραγοράς «Σκλαβενίτης», Παραλίμνι (Οδός 1ης Απριλίου 151); 8.30 π.μ.-4.30 μ.μ.; 35.032519; 33.981138; https://www.google.com/maps/place/35.032519,33.981138
Αμμόχωστος; Εθνικόφρονα Σωματεία Λιοπετρίου; 8.30 π.μ.-4.30 μ.μ.; 35.009230; 33.893305; https://www.google.com/maps/place/35.009230,33.893305
