Επαρχία; Σημείο Δειγματοληψίας; Ωράριο; LAT; LON; googlemap
Λεμεσός; Εκκλησία Αγίου Ιωάννη Ελεήμων, Λεμεσός; 9.30 π.μ.-6.30 μ.μ.; 34.674712; 33.020708; https://www.google.com/maps/place/34.674712,33.020708
Λεμεσός; Πολιτιστικό Κέντρο Μέσα Γειτονιάς; 9.30 π.μ.-6.30 μ.μ.; 34.702115; 33.046018; https://www.google.com/maps/place/34.702115,33.046018
Λεμεσός; Εκκλησία Αποστόλων Πέτρου και Παύλου, Κάψαλος; 9.30 π.μ.-6.30 μ.μ.; 34.7048011; 32.9932362; https://www.google.com/maps/place/34.7048011,32.9932362
Λεμεσός; Εκκλησία Παναγίας Ευαγγελίστριας, Κάτω Πολεμίδια; 9.30 π.μ.-6.30 μ.μ.; 34.693854; 33.000363; https://www.google.com/maps/place/34.693854,33.000363
Λεμεσός; Εκκλησία Παναγίας Χρυσοπολίτισσας, Ύψωνας; 9.30 π.μ.-6.30 μ.μ.; 34.687851; 32.959586; https://www.google.com/maps/place/34.687851,32.959586
Λεμεσός; Ιερός Ναός Αγίας Βαρβάρας, Ζακάκι; 9.30 π.μ.-6.30 μ.μ.; 34.658749; 33.000978; https://www.google.com/maps/place/34.658749,33.000978
Λεμεσός; Πολιτιστικό Κέντρο Δήμου Γερμασόγειας; 9 π.μ.-6.30 μ.μ.; 34.719661; 33.084520; https://www.google.com/maps/place/34.719661,33.084520
Λεμεσός; Εκκλησία Αποστόλου Λουκά, Άγιος Αθανάσιος (Συνοικισμός Αγίου Αθανασίου); 9.30 π.μ.-6.30 μ.μ.; 34.707287; 33.056755; https://www.google.com/maps/place/34.707287,33.056755
Λεμεσός; Σωματείο «Κουρης», Ερήμη; 9 π.μ.-6.30 μ.μ.; 34.678079; 32.922162; https://www.google.com/maps/place/34.678079,32.922162
Λεμεσός; Κοινοτικό Συμβούλιο Τριμίκλινης; 9 π.μ.-6.30 μ.μ.; 34.847959; 32.911478; https://www.google.com/maps/place/34.847959,32.911478
Λεμεσός; Εκκλησία Αγίου Στυλιανού, Λινόπετρα; 9.30 π.μ.-6.30 μ.μ.; 34.700451; 33.066469; https://www.google.com/maps/place/34.700451,33.066469
Λεμεσός; Πολυδύναμο Κέντρο Πύργου Λεμεσού; 9 π.μ.-6.30 μ.μ.; 34.740645; 33.181296; https://www.google.com/maps/place/34.740645,33.181296
Λάρνακα; Πολιτιστικό Κέντρο «Αγίου Γεωργίου Κοντού», Λάρνακα; 9 π.μ.-6.30 μ.μ.; 34.924908; 33.610432; https://www.google.com/maps/place/34.924908,33.610432
Λάρνακα; Δημοτικό Θέατρο Λάρνακας; 9 π.μ.-6.30 μ.μ.; 34.916106; 33.626317; https://www.google.com/maps/place/34.916106,33.626317
Λάρνακα; Εκκλησία Αποστόλου Βαρνάβα, Λάρνακα (περιοχή Κρασιά); 9.30 π.μ.-6.30 μ.μ.; 34.908236; 33.593466; https://www.google.com/maps/place/34.908236,33.593466
Λάρνακα; Πνευματικό Κέντρο Αγίου Σάββα, Λειβάδια; 9 π.μ.-6.30 μ.μ.; 34.948353; 33.635116; https://www.google.com/maps/place/34.948353,33.635116
Λάρνακα; Δημοτικό Αμφιθέατρο Δρομολαξιάς; 9 π.μ.-6.30 μ.μ.; 34.875185; 33.589801; https://www.google.com/maps/place/34.875185,33.589801
Λάρνακα; Οίκημα Σωματείου «Ομόνοιας Αραδίππου», Αραδίππου; 9 π.μ.-6.30 μ.μ.; 34.952526; 33.591117; https://www.google.com/maps/place/34.952526,33.591117
Λάρνακα; Οίκημα Παλαιού Παντοπωλείου, Ξυλοτύμπου; 9 π.μ.-1 μ.μ.; 35.017117; 33.743038; https://www.google.com/maps/place/35.017117,33.743038
Λάρνακα; Κοινοτικό Συμβούλιο Ορμήδειας; 1.30 μ.μ.-6.30 μ.μ.; 34.991726; 33.781076; https://www.google.com/maps/place/34.991726,33.781076
Λάρνακα; Πολιτιστικό Κέντρο Κοφίνου; 9 π.μ.-1 μ.μ.; 34.827066; 33.391746; https://www.google.com/maps/place/34.827066,33.391746 
Λάρνακα; Κοινοτικό Ιατρείο Κόρνου; 1.30 μ.μ.-6.30 μ.μ.; 34.921825; 33.395863; https://www.google.com/maps/place/34.921825,33.395863
